link_id,from_node_id,to_node_id,length,geometry
855,340,155,803.1701956,"LINESTRING (-109.8309881 34.3378478, -109.8308377 34.3450698)"
856,340,204,406.1319827,"LINESTRING (-109.8309881 34.3378478, -109.8310258 34.3341955)"
857,204,340,406.1319827,"LINESTRING (-109.8310258 34.3341955, -109.8309881 34.3378478)"
858,204,548,408.0628535,"LINESTRING (-109.8310258 34.3341955, -109.8309604 34.3305261)"
859,548,204,408.0628535,"LINESTRING (-109.8309604 34.3305261, -109.8310258 34.3341955)"
860,548,352,806.9104546,"LINESTRING (-109.8309604 34.3305261, -109.8308283 34.3232702)"
861,352,548,806.9104546,"LINESTRING (-109.8308283 34.3232702, -109.8309604 34.3305261)"
862,352,539,806.9295999,"LINESTRING (-109.8308283 34.3232702, -109.8308246 34.3160135)"
863,539,352,806.9295999,"LINESTRING (-109.8308246 34.3160135, -109.8308283 34.3232702)"
864,539,345,412.7161239,"LINESTRING (-109.8308246 34.3160135, -109.8305674 34.3123344)"
865,345,539,412.7161239,"LINESTRING (-109.8305674 34.3123344, -109.8308246 34.3160135)"
866,345,355,805.4213106,"LINESTRING (-109.8305674 34.3123344, -109.8306002 34.3051076)"
867,355,345,805.4213106,"LINESTRING (-109.8306002 34.3051076, -109.8305674 34.3123344)"
868,355,372,602.1668315,"LINESTRING (-109.8306002 34.3051076, -109.8308133 34.2996961)"
869,372,355,602.1668315,"LINESTRING (-109.8308133 34.2996961, -109.8306002 34.3051076)"
870,372,239,1083.469239,"LINESTRING (-109.8308133 34.2996961, -109.8295695 34.290014)"
871,239,372,1083.469239,"LINESTRING (-109.8295695 34.290014, -109.8308133 34.2996961)"
872,239,254,303.1504309,"LINESTRING (-109.8295695 34.290014, -109.828806 34.287362)"
873,254,239,303.1504309,"LINESTRING (-109.828806 34.287362, -109.8295695 34.290014)"
874,58,195,202.7284018,"LINESTRING (-109.7935738 34.3324091, -109.7957793 34.3324869)"
875,195,58,202.7284018,"LINESTRING (-109.7957793 34.3324869, -109.7935738 34.3324091)"
